Sheher,Marka,Model,Buraxilish ili,Ban novu,Reng,Muherrikin hecmi,Muherrikin gucu,Yanacaq novu,Yurush,Suretler qutusu,Oturucu,Yeni,Qiymet,Extra Info,Seller comment
Xırdalan,Mercedes,C 200,2001,Kupe,Gümüşü,2.0 L,136 a.g.,Benzin,189 000 km,Avtomat,Arxa,Xeyr,9600 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası"
Bakı,Mercedes,C 200,1999,Universal,Qara,2.0 L,136 a.g.,Benzin,550 000 km,Avtomat,Arxa,Xeyr,10800 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar","Masin yaxsi veziyyetdedi,predok yigilib, motor yag yemir, tekerler yenidir, kalodkalar deyisilib filterler yenilenib masina endirim masina baxilandan sonra ola biler."
Bakı,Mercedes,C 230,1999,Sedan,Ağ,2.3 L,150 a.g.,Qaz,144 488 km,Avtomat,Arxa,Xeyr,12900 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası","C180 AMG full paket
Alakantara salon.
Maşın tezedi. Geldiği yol sürülüp. 2500km'dedi."
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Mawinin hecbir problemi yoxdu almanyadan gelennen mendedi tecili satilir
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Vurugu udari deyisen detali curuyu qetiyyen yoxdur.Kuza idealdi. Sadece sekilde gorsenen yerlere kosmetik olarag renglenmeye ehtiyac var.mator karopka kondisioner pec sidenya qizdiranlar ela isleyir.Peredokda hec bir xerc yoxdur.coooxxx qenaetcil masindi.
Bakı,Mercedes,C 230,2006,Sedan,Ağ,2.3 L,205 a.g.,Benzin,192 145 km,Avtomat,Arxa,Xeyr,18500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası",Maşının  tam ideal vəziyyətdədir heç bir xərc tələb etmir.Maşın  ailə maşını kimi istifadə olunub.Qaraj şəraitində saxlanılıb.Maşının probeqi orginaldı.Real alıcılara maşına baxdıqdan sora cüzi endirim olacaq.
Sumqayıt,Mercedes,C 180,1994,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,386 000 km,Avtomat,Arxa,Xeyr,8700 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Oturacaqların ventilyasiyası",masin 98 e yigilib. hec bir problemi yoxdu. baximli masindi. guzguler 2003 modelindi. iceri qatdalanir. yagini hava filterni benzin filterni nakladkalari teze deyismisem. padfarnik blijni led isiglardi. probor salonda led isiglardi. zadni spicka isiglardi. texasmotru 10 gundu eletdirmisem yungulvari kondisionerde problem var. qalan masinda her sey isdiyir demey olarki.  rengi gumusu metalikdi. kredit mumkundur. ilkin odenis 4400 azn. 12 ay 525 man. 22 ay 380 man. nasosnuda qaliram. ciddi shexsler narahat elesin
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon","Hec bir problem yoxdur nemkadir, sade motordur"
Bakı,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,143 a.g.,Dizel,469 000 km,Avtomat,Ön,Xeyr,13000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",Mawin yaxwi veziyyetdedir.oz adimadir.tekerleri tezedir.ne problemi olsa qiymetinden cixacam.tecili satmiram.bow bekar adamlar narahat elemesin
Bakı,Mercedes,C 240,1998,Sedan,Göy,2.4 L,170 a.g.,Benzin,356 000 km,Avtomat,Arxa,Xeyr,11000 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Mashin ideal veziyyetedir.Nemkadir.Deyishen detali yoxudur.Son qiymet mashinin yaninda danishilacaq.
Bakı,Mercedes,C 180,1999,Sedan,Göy,1.8 L,122 a.g.,Benzin,143 500 km,Avtomat,Arxa,Xeyr,12400 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Oturacaqların ventilyasiyası",masin ele vezyetdedi almannan gelenden mendedi hech bir problemi yoxdu 8 ildi sururem eve iwe 15-20 km 
Tərtər,Mercedes,C 220,1998,Sedan,Gümüşü,2.2 L,143 a.g.,Dizel,22 000 km,Avtomat,Arxa,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Salam Avtomobil ideal veziyyetdedir 2.2 sade dizel motordur muherrik benzinden secilmir yeni cox sessiz isleyir 5 litir dizel isledir elave suali olan zeng ede biler Terterdedir
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,150 a.g.,Benzin,495 506 km,Avtomat,Arxa,Xeyr,8200 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Herseyi islekdi tecili satilir. Qiymetde real aliciya endirim olacaq
Bakı,Mercedes,C 230,1997,Sedan,Göy,2.3 L,150 a.g.,Benzin,444 908 km,Mexaniki,Arxa,Xeyr,11500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Park radarı,Kondisioner,Oturacaqların isidilməsi,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr",Tam idial veziyyetde 2.3 konpressor il 1997 alverci narahat elemesin qiymetde razilasmag olar .reng xamilyon
Quba,Mercedes,C 220,1995,Sedan,Göy,2.2 L,146 a.g.,Benzin,400 000 km,Avtomat,Arxa,Xeyr,8500 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Arxa görüntü kamerası,Yan pərdələr"
Bakı,Mercedes,C 200,1997,Sedan,Yaşıl,2.0 L,136 a.g.,Benzin,175 000 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Salam yaxsi veziyetdedi hec bir xerc tele b elemir 
Bakı,Mercedes,C 230,1998,Sedan,Ağ,2.3 L,197 a.g.,Benzin,254 785 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Yan pərdələr",Ela veziyetdedir vurugu udari yoxduoz adimadi 2 ildi mendedi
Şəmkir,Mercedes,C 180,1999,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,286 000 km,Mexaniki,Arxa,Xeyr,10300 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Masin ela vezyetdedir hec bir xerc teleb etmir
Bakı,Mercedes,C 180,1995,Sedan,Göy,1.8 L,122 a.g.,Benzin,305 000 km,Avtomat,Ön,Xeyr,8500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",Masin əla vezyededi qətiyən vuruği olmayıb coy gözəl masndi
Gəncə,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,8700 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Yan pərdələr",masin normal veziyyetdedi.yungul kosmetika isi var.qiymetde razilasmaq olar
Ağdaş,Mercedes,C 200,1995,Sedan,Qırmızı,2.0 L,136 a.g.,Benzin,294 000 km,Avtomat,Arxa,Xeyr,9200 AZN,"ABS,Lyuk,Kondisioner,Ksenon lampalar,Yan pərdələr","4 yeni teker , 4 yeni sveca. ciddi wexsler narahat etsin"
Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,257 200 km,Avtomat,Arxa,Xeyr,10850 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner",Masin normaldir. Otur sur. Sadece kosmetikaya ehtiyaci var.
Qax,Mercedes,C 250,1997,Sedan,Göy,2.5 L,150 a.g.,Dizel,230 000 km,Mexaniki,Arxa,Xeyr,9000 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner",mashin yaxshi vezietdedir.vurugu udari yoxdu. cox eqonom mashindir. real alicinan razilashmag mimqindir
Bərdə,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,246 100 km,Avtomat,Arxa,Xeyr,11500 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Oturacaqların ventilyasiyası","Ela veziyetdedir.udar vuruq curuk qeti yoxdu alti ustu ter temizdi.mator karobka ideal.kondsaner buzz kimi vurur.sigorta texasmotur yeni.temiz 98di 
Noyabr ayi. real yaxwi mawin axtaran wexsler elaqe saxlasin."
Bakı,Mercedes,C 220,1999,Universal,Göy,2.2 L,122 a.g.,Dizel,330 000 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner",Mawin ideal vezyetdedir. Qeti pasi curuyu udari yoxdu. Kasmetikaya ehtiyaci yoxdu. Salon super veziyetde. xadavoy Mator karopka most idealdi. Mawin takside capilmiyib agir yuk vrulmuyub. Tekerleri yaxwi vezyetdedi. 
Ağdaş,Mercedes,C 220,1995,Sedan,Yaşıl,2.2 L,150 a.g.,Benzin,300 000 km,Mexaniki,Arxa,Xeyr,8500 AZN,"Yüngül lehimli disklər,ABS,Kondisioner",masin elaa veziyyetdedi
Bakı,Mercedes,C 180,1994,Sedan,Göy,1.8 L,122 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,7800 AZN,"ABS,Lyuk,Mərkəzi qapanma,Kondisioner",Bakya gelennen 1 ci el mawindi udar yoxdu yani surtulub ona gore qara vurulub vurulmuw wekilide var kondisoneri lyuku iwleir tekerler yaxwi vezyetdedi 4 ay var deiwilib ciddi wexsler narahat edsin
Bakı,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,10600 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon","Yaxşı vəziyyətdədir, zəhmət olmasa real alıcı narahat etsin."
Astara,Mercedes,C 250,1997,Sedan,Gümüşü,2.5 L,150 a.g.,Dizel,420 000 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner",Maşın tam saz vəziyyətdədi udarı olmayıb mator karobka difir perdoqda heç bir problem yoxdu sadəcə ehtiyacım olduğu üçün satıram işləməyən detalı yoxdur təkərlərin dördü də təzədir  yağı filterləri təzə dəyişdirilib bir sözlə maşın heç bir xərc tələb etmir otur sür
Bakı,Mercedes,C 230,2006,Sedan,Gümüşü,2.3 L,193 a.g.,Benzin,278 000 km,Avtomat,Arxa,Xeyr,16000 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Kondisioner,Oturacaqların isidilməsi,Dəri salon"
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,156 a.g.,Benzin,59 500 km,Avtomat,Arxa,Xeyr,32700 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar","Европейка!
В идеальном состоянии! Без краски!
Только привезена в Баку. Дорогие покрышки GoodYear.
Не требует никаких затрат.Хорошая комплектация.
Торг у машины."
Bakı,Mercedes,C 180,2018,Sedan,Qara,1.6 L,150 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,50999 $,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası","C180 AMG full paket
Alakantara salon.
Maşın tezedi. Geldiği yol sürülüp. 2500km'dedi."
Bakı,Mercedes,C 220,1995,Sedan,Qara,2.2 L,146 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,9500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Mawinin hecbir problemi yoxdu almanyadan gelennen mendedi tecili satilir
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar","Maşın Təcili satılır. əla vəziyyətdədir.heç bir problemi yoxdu. 2.3 kompressor. AMG disklər.4 təzə təkər. mator,karobka,perodok əladi.gündəlik sürülən maşındi.harda isdəsəz yoxlatdıra bilərsiz.xahiş olunur yalnız real alıcılar narahat eləsin.real alıcı ilə qiymətdə razılaşmaq olar."
Bakı,Mercedes,C 200,1994,Sedan,Boz,2.0 L,136 a.g.,Benzin,369 909 km,Avtomat,Arxa,Xeyr,9000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Oturacaqların ventilyasiyası",masin normal veziyetdedi cuzi endirim olacaq bos adamlar narahat etmesin 
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,136 a.g.,Benzin,232 000 km,Avtomat,Arxa,Xeyr,12900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Oturacaqların ventilyasiyası",Masin tam ideal veziyyetdeddir. xadavoyunda hec bir problem yoxdur. most mator  karopka tam idealdir. karopkada bir qramda gecikme yoxdur. matorda yag azalma sohbeti gede bilmez. peredok noldan teze yigilib. tekerler 4-ude teze vurulub altina. masinda qetiyyen vurug udar olmayib. pasi curuyu qetiyyen yoxdur. kasmetikaya ehtiyyac yoxdur. telde qiymet sohbeti olmasin masina baxdiqdan sonra cuzi endirim olacaq. 
Xaçmaz,Mercedes,C 300,2007,Sedan,Ağ,3.0 L,231 a.g.,Benzin,193 000 km,Avtomat,Arxa,Xeyr,21500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Oturacaqların ventilyasiyası",Mawin oz mawnimdi hec bir xerc teleb etmir
Bakı,Mercedes,C 230,1998,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,450 000 km,Avtomat,Ön,Xeyr,12500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Dəri salon,Arxa görüntü kamerası","Masin hem qazladir hem benzinle.Qaz zavodskoydu.Almanyadan gelme.sonradan qoyulma deyil.Sekilden de gorduyunuz kimi 2 baki var.Karobka motor peredok ela veziyyetdedir.Masin umumiyyetle ela veziyyetdedir.100 ce manat xerci var.Qiymet masinin yaninda danisiliacaq
"
Bakı,Mercedes,C 180,1995,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,385 067 km,Avtomat,Arxa,Xeyr,7900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Oturacaqların isidilməsi","Avtomobil yaxwi vezyetdedir.udar, curuy, pas yoxdur.motor saat kimi, xadavoyu yaxwidir. Bow bekar adamlar nrht etmesin..."
Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3 L,150 a.g.,Benzin,333 000 km,Avtomat,Arxa,Xeyr,11700 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Yan pərdələr"
Bakı,Mercedes,C 240,2001,Sedan,Boz,2.6 L,177 a.g.,Benzin,228 000 km,Avtomat,Arxa,Xeyr,9700 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Arxa görüntü kamerası",Salam. Tecili satiram. Masinimda kankret olaraq vuruq udar yoxdur. Mator karopka idyal veziyyetdedir. Yalniz kosmetik ise ehtiyac var. Cox xahis edirem real alici narahat etsin. Masin Razindedi.
Sumqayıt,Mercedes,C 180,1997,Sedan,Göy,1.8 L,122 a.g.,Benzin,336 000 km,Avtomat,Arxa,Xeyr,10700 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Yan pərdələr"
Sumqayıt,Mercedes,C 180,1999,Universal,Göy,1.8 L,122 a.g.,Benzin,420 000 km,Avtomat,Arxa,Xeyr,10500 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner"
Bakı,Mercedes,C 180,1997,Sedan,Yaşıl,1.8 L,122 a.g.,Benzin,250 000 km,Mexaniki,Arxa,Xeyr,13800 AZN,Kreditdədir,"ABS,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası"
Bakı,Mercedes,C 220,1994,Sedan,Yaş Asfalt,2.2 L,146 a.g.,Benzin,40 000 km,Avtomat,Arxa,Xeyr,8700 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası",Mawinin kasmetkaya ehtiyaci var 4 teze teker mawin bir sozle yaxwi yaxwi vezyetdedi tecili satilir
Bakı,Mercedes,C 250,2013,Sedan,Qara,2.0 L,204 a.g.,Benzin,62 800 km,Avtomat,Arxa,Xeyr,19000 $,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası","Istenilen yerde yoxlana biler,hec bir prooblemi yox,cox seliqeli surubManatla,LIZINQ MUMKUNDU.ALICI istenilen servizd yoxlatdirb biler.."
Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Benzin,245 000 km,Avtomat,Arxa,Xeyr,11600 AZN,"ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar,Yan pərdələr,Oturacaqların ventilyasiyası","avtomibil idaeal veziyyetdedir !!
Istenilen Ustaya yoxlada bilersniz
MOTOR 2.3 ZAVOD SADEDEDİR.
Motoran 5/30 yag tökülür (Motora 5/30,yag tökülmeək motprun nece vəziyyətdə oldugundan xəbır veriri)
Farsunkalar yuyulub 
svecalar deyişdirilib 
Şeher ici 10 L kondinsoner+tixacla 11 L benzin serfiyyati var.
4 eded 2018 ci ilin YENİ M+S təkırləri vurulub
 R-16 amg disgiler 
Dəri salon 
Luk (işleyir)
kondinsoner Klimat kontrol (işləyir)
Şofer oturacagi düyme ile tenzimlenmesi
 bütün funkisyalar işlekdir
 motor süretlər qutusu əla vıziyyətdədir
 ciziq batiga göre renglənən  yerləri  var
Maşina gündüz saatlarinda 8 km DİQLAS ticaret merkezinin yaxinliginda
Saat 18:00 dan sonra Qaracuxur Aura şadıiq sarayinin yanina baxmaq olar 
2018 ci ilin maşinina aid suallar verməyin qiymtdə endirim cox cüzi məbləg maşinia baxandan  sonra  mümkündür!!
BU AVTOMOBİLE BAXMA İSTEYEN EVVEL EYNİ İKİN 3-4  MAŞİNİNA BAXİB SONRA USTASİ  İLE GELİB BUBAXSİB FƏRQİ GÖRSÜN
NAGİLBAZLAR NARAHAT ETMESİN!!
"
Bakı,Mercedes,C 240,2002,Sedan,Gümüşü,2.6 L,177 a.g.,Benzin,184 558 km,Avtomat,Arxa,Xeyr,13500 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası","Masin super veziyyetdedi. Mator,karopka saz veziyyetde. Yaponka orginal sol rul. Zavod Lorinse yigilma. Zavod ksenon faralar. Les masinlarla bir tutmayin ureyiniz harda isteyir yoxlada bilersiz. Masina oturanda bileceksiz nece masindi. Artiq soze gerek yoxdu. "
Balakən,Mercedes,C 200,1999,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,150 000 km,Mexaniki,Arxa,Xeyr,1130 AZN,"Yüngül lehimli disklər,Lyuk,Mərkəzi qapanma,Kondisioner",Salam aleykum panarama luykdur hec bir prablem  yoxdur 
Lənkəran,Mercedes,C 32 AMG,2001,Sedan,Gümüşü,3.2 L,354 a.g.,Benzin,204 000 km,Avtomat,Arxa,Xeyr,13800 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası","Avtomobil ideal veziyyetdedi.hec bir xerci yoxdu.amg surenler bilirki bu masin nece masindi.3.2.354 at gucu.
"
Bakı,Mercedes,C 200,1996,Sedan,Ağ,1.8 L,122 a.g.,Benzin,227 000 km,Avtomat,Arxa,Xeyr,8900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",Salam masin tam idyall  vezyettedir      her seyi  isleydi mator 111 matordu   retki retgi  olur   bele  mator
Gəncə,Mercedes,C 240,2000,Sedan,Göy,2.4 L,177 a.g.,Benzin,193 934 km,Avtomat,Arxa,Xeyr,10800 AZN,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Yan pərdələr",Maşın ideal vəziətdədir mator karopqa və xadavot tam problemsizdi təkərlər təzədi tam xərcsiz və rasxodsuz maşındı şəkillər ətraflı çəkilib göründüyü kimi çox səliqəli maşındı kosmetqaya ehtiyac yoxdu təmiz eleqans dı qiymət ancaq maşının yanında danışlacaq əlavə suala saat 8:00 dan 22:00 kimi zəng edə bilərsiz
Bərdə,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,120 a.g.,Benzin,203 000 km,Avtomat,Arxa,Xeyr,8100 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Oturacaqların isidilməsi,Yan pərdələr"
Bakı,Mercedes,C 240,2001,Sedan,Qara,2.5 L,150 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,12000 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası",ela veziyyetdedir heç bir temire ehtiyac yoxdur her bir funksiyası işlekdir 
Bakı,Mercedes,C 200,1999,Universal,Yaş Asfalt,2.0 L,136 a.g.,Benzin,383 504 km,Avtomat,Arxa,Xeyr,10500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner","Maşın ilinə görə əla vəziyyətdədir. Tam olaraq problemsizdir. Səliqəli baxılıb. Şübhəsiz ki, kraska dəyən yerləri var. Udarsızdır. Maşına qulluq hər zaman vaxtlı-vaxtında yüksək səviyyədə olunub. Motor, Korobka, peredok, təkərlər, salon ideal vəziyyətdədir. Korobkanın və motorun yağı təzə tökülüb. Maşına telefonda baxılmır. Zəhmət olmazsa, gəlin, baxın.Təcili Satılır!!!"
Bakı,Mercedes,C 200,1996,Sedan,Ağ,2.0 L,136 a.g.,Benzin,335 000 km,Avtomat,Arxa,Xeyr,9300 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Yan pərdələr",Mashin yaxshi vezyetdedi .arxasinda biraz batiq var. Hec bir xerc teleb ermir. Maklerler narahat etmesin
Ağdam,Mercedes,C 180,1998,Sedan,Ağ,1.8 L,140 a.g.,Benzin,192 000 km,Avtomat,Arxa,Xeyr,11900 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Ksenon lampalar",Salam   masn udar yoxdu  her detall islekdi kasmetkaya ehtiyac yoxdu salonu cox seliqelidi  97  98 madeldi lazer acar 190000 arginal probeq
